gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw
gfx942,304,512,3584,3072,112,15,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,32,0,1102.2034,flydsl_moe1_abf16_wint4_bf16_t32x128x128_bnt0,0.0%,567.4657,flydsl_moe2_abf16_wint4_bf16_t32x128x128_reduce,1.7%,1669.6691,0,0,0,303.86,1112.21
gfx942,304,1024,3584,3072,112,15,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,64,0,1827.63,flydsl_moe1_abf16_wint4_bf16_t64x128x128_bnt0,0.0%,918.2887,flydsl_moe2_abf16_wint4_bf16_t64x128x128_reduce,1.7%,2745.9187,0,0,0,369.53,678.96
gfx942,304,2048,3584,3072,112,15,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,64,0,3236.405,flydsl_moe1_abf16_wint4_bf16_t64x128x128_bnt0,0.0%,1606.6301,flydsl_moe2_abf16_wint4_bf16_t64x128x128_reduce,1.7%,4843.0351,0,0,0,419.03,387.99
gfx942,304,4096,3584,3072,112,15,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,64,0,5865.6052,flydsl_moe1_abf16_wint4_bf16_t64x128x128_bnt0,0.0%,2979.8278,flydsl_moe2_abf16_wint4_bf16_t64x128x128_reduce,1.7%,8845.433,0,0,0,458.85,215.75
gfx942,304,8192,3584,3072,112,15,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,64,0,11363.8588,flydsl_moe1_abf16_wint4_bf16_t64x128x128_bnt0,0.0%,5775.1391,flydsl_moe2_abf16_wint4_bf16_t64x128x128_reduce,1.7%,17138.9979,0,0,0,473.63,114.78
gfx942,304,16384,3584,3072,112,15,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,64,0,22951.9686,flydsl_moe1_abf16_wint4_bf16_t64x128x128_bnt0,0.0%,11567.9842,flydsl_moe2_abf16_wint4_bf16_t64x128x128_reduce,1.7%,34519.9528,0,0,0,470.31,60.39
gfx942,304,1,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,15.9999,flydsl_moe1_abf16_wint4_bf16_t16x16x128_bnt0_kw4,0.0%,17.6355,flydsl_moe2_abf16_wint4_bf16_t16x128x256_atomic,0.4%,33.6354,0,0,0,3.93,54992.73
gfx942,304,2,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,23.7117,flydsl_moe1_abf16_wint4_bf16_t16x32x128_kw2,0.0%,19.707,flydsl_moe2_abf16_wint4_bf16_t16x128x256_atomic,0.4%,43.4187,0,0,0,6.09,42601.85
gfx942,304,3,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,29.5099,flydsl_moe1_abf16_wint4_bf16_t16x32x128_kw4,0.0%,25.2253,flydsl_moe2_abf16_wint4_bf16_t16x128x256_atomic,0.4%,54.7352,0,0,0,7.24,33794.18
gfx942,304,4,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,38.5487,flydsl_moe1_abf16_wint4_bf16_t16x32x128_bnt0_kw2,0.0%,29.481,flydsl_moe2_abf16_wint4_bf16_t16x128x256_atomic,0.5%,68.0297,0,0,0,7.77,27190.26
gfx942,304,8,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,65.0522,flydsl_moe1_abf16_wint4_bf16_t16x64x128,0.0%,42.6661,flydsl_moe2_abf16_wint4_bf16_t16x128x128_atomic,0.4%,107.7183,0,0,0,9.81,17172.6
gfx942,304,16,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,103.1131,flydsl_moe1_abf16_wint4_bf16_t16x64x128,0.0%,61.6104,flydsl_moe2_abf16_wint4_bf16_t16x128x256_atomic,0.4%,164.7235,0,0,0,12.83,11230.44
gfx942,304,32,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,178.1834,flydsl_moe1_abf16_wint4_bf16_t16x64x128,0.0%,95.371,flydsl_moe2_abf16_wint4_bf16_t16x128x128_atomic,0.4%,273.5544,0,0,0,15.46,6763.36
gfx942,304,64,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,262.5064,flydsl_moe1_abf16_wint4_bf16_t16x64x128,0.0%,134.0025,flydsl_moe2_abf16_wint4_bf16_t16x128x128_atomic,0.5%,396.5089,0,0,0,21.33,4667.25
gfx942,304,128,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,341.5578,flydsl_moe1_abf16_wint4_bf16_t16x64x128,0.0%,177.8539,flydsl_moe2_abf16_wint4_bf16_t16x128x128_atomic,0.5%,519.4117,0,0,0,32.56,3564.65
gfx942,304,256,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,374.9124,flydsl_moe1_abf16_wint4_bf16_t16x128x128,0.0%,200.5685,flydsl_moe2_abf16_wint4_bf16_t16x128x128_atomic,0.5%,575.4809,0,0,0,58.77,3220.54
gfx942,304,512,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,397.7009,flydsl_moe1_abf16_wint4_bf16_t16x128x128,0.0%,216.1761,flydsl_moe2_abf16_wint4_bf16_t16x128x256_atomic,0.5%,613.877,0,0,0,110.19,3025.08
gfx942,304,1024,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,32,0,477.3228,flydsl_moe1_abf16_wint4_bf16_t32x128x128,0.0%,347.2852,flydsl_moe2_abf16_wint4_bf16_t32x128x128_atomic,0.5%,824.608,0,0,0,164.07,2260.91
gfx942,304,2048,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,32,0,799.2389,flydsl_moe1_abf16_wint4_bf16_t32x128x128_bnt0,0.0%,558.8096,flydsl_moe2_abf16_wint4_bf16_t32x128x256_atomic,0.5%,1358.0485,0,0,0,199.24,1383.64
gfx942,304,4096,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,32,0,1279.0459,flydsl_moe1_abf16_wint4_bf16_t32x128x128_bnt0,0.0%,910.4166,flydsl_moe2_abf16_wint4_bf16_t32x128x256_atomic,0.5%,2189.4625,0,0,0,247.17,871.63
gfx942,304,8192,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,32,0,2271.1474,flydsl_moe1_abf16_wint4_bf16_t32x128x128_bnt0,0.0%,1561.609,flydsl_moe2_abf16_wint4_bf16_t32x128x128_atomic,0.5%,3832.7564,0,0,0,282.39,513.24
gfx942,304,16384,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,64,0,3694.8158,flydsl_moe1_abf16_wint4_bf16_t64x128x128_bnt0,0.0%,3441.3338,flydsl_moe2_abf16_wint4_bf16_t64x128x256_atomic,0.5%,7136.1496,0,0,0,303.34,292.11
