gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,112,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,832,7,16.3548,flydsl_hgemm_abf16_wbf16_bf16_t128x64x64x5_ks7_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0195,207.35,1978.4
gfx950,256,128,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,872,7,17.5338,flydsl_hgemm_abf16_wbf16_bf16_t128x64x64x6_ks7_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.02,221.03,1862.31
gfx950,256,256,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3985,4,25.018,flydsl_hgemm_abf16_wbf16_bf16_t96x64x64x4_ks4_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.014,309.82,1400.15
gfx950,256,1,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,114,1,5.1704,flydsl_hgemm_abf16_wbf16_bf16_t16x16x128x8_ks1_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,1.83,1827.02
gfx950,256,2,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,130,1,5.1696,flydsl_hgemm_abf16_wbf16_bf16_t16x16x256x5_ks1_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0031,3.65,1829.08
gfx950,256,4,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,114,1,5.2503,flydsl_hgemm_abf16_wbf16_bf16_t16x16x128x8_ks1_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,7.19,1804.48
gfx950,256,8,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,130,1,5.345,flydsl_hgemm_abf16_wbf16_bf16_t16x16x256x5_ks1_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0032,14.12,1779.4
gfx950,256,16,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,127,1,5.4626,flydsl_hgemm_abf16_wbf16_bf16_t16x16x256x4_ks1_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0033,27.64,1754.59
gfx950,256,32,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,212,1,6.0358,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x5_ks1_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0028,50.03,1612.4
gfx950,256,48,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1374,1,6.4427,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x8_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,70.31,1533.45
gfx950,256,64,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1310,1,6.7127,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x7_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,89.98,1493.74
gfx950,256,80,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2204,1,7.0911,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x8_ks1_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,106.47,1434.82
gfx950,256,96,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2065,1,7.1135,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x8_ks1_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,127.36,1451.03
gfx950,256,112,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4025,1,7.767,flydsl_hgemm_abf16_wbf16_bf16_t64x32x64x8_ks1_w4x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,136.08,1347.93
gfx950,256,128,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2113,1,8.1896,flydsl_hgemm_abf16_wbf16_bf16_t32x64x128x4_ks1_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.0,147.5,1296.38
gfx950,256,256,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3498,1,9.6438,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x5_ks1_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,250.52,1223.22
gfx950,256,1,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,155,1,7.6618,flydsl_hgemm_abf16_wbf16_bf16_t16x16x64x8_ks1_w1x1x1_bias0_ktail0_gm4_pft_gfx950,0.0,3.83,3834.42
gfx950,256,2,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,87,1,7.645,flydsl_hgemm_abf16_wbf16_bf16_t16x16x128x5_ks1_w1x1x1_bias0_ktail0_gm4_pft_gfx950,0.0,7.68,3845.26
gfx950,256,4,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,91,1,7.6452,flydsl_hgemm_abf16_wbf16_bf16_t16x16x128x6_ks1_w1x1x1_bias0_ktail0_gm4_pft_gfx950,0.0,15.36,3849.98
gfx950,256,8,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,95,1,7.7659,flydsl_hgemm_abf16_wbf16_bf16_t16x16x128x7_ks1_w1x1x1_bias0_ktail0_gm4_pft_gfx950,0.0,30.25,3799.63
gfx950,256,16,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,7.7467,auto,0.0,60.64,3828.09
gfx950,256,32,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,8.5533,auto,0.0,109.84,3501.57
gfx950,256,48,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,345,1,9.9481,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x8_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,141.66,3040.27
gfx950,256,64,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,9.9336,auto,0.0,189.16,3074.39
gfx950,256,80,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1407,1,11.513,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x6_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,204.01,2678.25
gfx950,256,96,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2881,1,11.4677,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x6_ks1_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,245.78,2714.55
gfx950,256,112,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2681,1,12.2743,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x5_ks1_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,267.9,2560.19
gfx950,256,128,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2696,1,12.5799,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x5_ks1_w2x4x1_bias0_ktail0_gm0_pft_gfx950,0.0,298.74,2521.44
gfx950,256,256,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,16.4001,auto,0.0,458.3,2077.96
gfx950,256,1,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,190,1,39.1404,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x3_ks1_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.0,5.92,5920.13
gfx950,256,2,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,37.57,native,0.0,12.33,6168.83
gfx950,256,4,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,37.7811,native,0.0,24.53,6136.84
gfx950,256,8,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,37.9082,native,0.0,48.89,6121.18
gfx950,256,16,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,37.7911,native,0.0,98.08,6150.03
gfx950,256,32,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,843,1,39.627,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x6_ks1_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.0,187.08,5883.94
gfx950,256,48,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,40.1459,native,0.0,276.99,5826.48
gfx950,256,64,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,41.9427,native,0.0,353.5,5594.67
gfx950,256,80,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,660,2,47.72,flydsl_hgemm_abf16_wbf16_bf16_t96x128x64x5_ks2_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0061,388.38,4932.99
gfx950,256,96,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1342,2,49.1794,flydsl_hgemm_abf16_wbf16_bf16_t96x128x64x4_ks2_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0061,452.23,4801.78
gfx950,256,112,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,80,2,52.3981,flydsl_hgemm_abf16_wbf16_bf16_t128x128x64x4_ks2_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0061,495.19,4521.07
gfx950,256,128,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,57,2,54.8908,flydsl_hgemm_abf16_wbf16_bf16_t128x128x64x3_ks2_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0061,540.23,4329.35
gfx950,256,256,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1,1,81.8796,flydsl_hgemm_abf16_wbf16_bf16_t128x128x128x2_ks1_w2x2x1_bias0_ktail0_gm0_pht_gfx950,0.0,724.33,2975.27
gfx942,80,256,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10203,10,19.9736,opus_gemm_gfx942_splitk_p1_bk128_256x64x64x128_2x2_16x16x16_0x0x0,0.0,47.04,374.05
gfx942,80,64,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,opus,10003,0,16.2504,opus_gemm_gfx942_p1_bk128_256x64x64x128_2x2_16x16x16_0x0x0,0.0,37.17,617.03
gfx942,80,80,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,opus,10000,0,42.8315,opus_gemm_gfx942_512x128x128x64_2x4_16x16x16_0x0x0,0.0,54.84,719.91
gfx942,80,112,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,opus,10000,0,49.8753,opus_gemm_gfx942_512x128x128x64_2x4_16x16x16_0x0x0,0.0,65.93,630.06
gfx1250,256,1,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20129,11,4.9754,opus_gemm_gfx1250_splitk_clusterlaunch_tdm_ws_128x16x32x256_1x2_16x16x32_0x0x0_c1x4_p3w2,0.0,0.74,740.62
gfx1250,256,2,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20129,13,5.1593,opus_gemm_gfx1250_splitk_clusterlaunch_tdm_ws_128x16x32x256_1x2_16x16x32_0x0x0_c1x4_p3w2,0.0,1.42,717.1
gfx1250,256,4,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20121,11,5.3272,opus_gemm_gfx1250_splitk_clusterlaunch_tdm_ws_128x16x32x256_1x2_16x16x32_0x0x0_c1x2_p3w2,0.0,2.76,700.07
gfx1250,256,8,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20121,13,5.3681,opus_gemm_gfx1250_splitk_clusterlaunch_tdm_ws_128x16x32x256_1x2_16x16x32_0x0x0_c1x2_p3w2,0.0,5.47,705.8
gfx1250,256,16,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20121,10,5.55,opus_gemm_gfx1250_splitk_clusterlaunch_tdm_ws_128x16x32x256_1x2_16x16x32_0x0x0_c1x2_p3w2,0.0,10.58,704.07
gfx1250,256,32,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20002,6,5.6137,opus_gemm_gfx1250_splitk_cluster_tdm_ws_128x16x32x512_1x2_16x16x32_0x0x0_p3w1,0.0,20.92,738.4
gfx1250,256,48,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20119,6,5.6916,opus_gemm_gfx1250_splitk_clusterlaunch_tdm_ws_128x16x32x256_1x2_16x16x32_0x0x0_c3x1_p3w2,0.0,30.95,770.03
gfx1250,256,64,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20120,6,5.7774,opus_gemm_gfx1250_splitk_clusterlaunch_tdm_ws_128x16x32x256_1x2_16x16x32_0x0x0_c4x1_p3w2,0.0,40.66,799.72
gfx1250,256,80,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20255,10,5.8587,opus_gemm_gfx1250_splitk_clusterlaunch_tdm_ws_128x32x32x256_2x1_16x16x32_0x0x0_c1x4_p3w2,0.0,50.11,829.17
gfx1250,256,96,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20119,6,5.8792,opus_gemm_gfx1250_splitk_clusterlaunch_tdm_ws_128x16x32x256_1x2_16x16x32_0x0x0_c3x1_p3w2,0.0,59.93,866.69
gfx1250,256,112,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20129,6,6.0314,opus_gemm_gfx1250_splitk_clusterlaunch_tdm_ws_128x16x32x256_1x2_16x16x32_0x0x0_c1x4_p3w2,0.0,68.15,884.2
gfx1250,256,128,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20124,6,6.1139,opus_gemm_gfx1250_splitk_clusterlaunch_tdm_ws_128x16x32x256_1x2_16x16x32_0x0x0_c4x2_p3w2,0.0,76.84,911.13
gfx1250,256,256,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20258,6,6.6006,opus_gemm_gfx1250_splitk_clusterlaunch_tdm_ws_128x32x32x256_2x1_16x16x32_0x0x0_c4x4_p3w2,0.0,142.34,1131.88
gfx1250,256,512,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20256,3,8.0343,opus_gemm_gfx1250_splitk_clusterlaunch_tdm_ws_128x32x32x256_2x1_16x16x32_0x0x0_c2x4_p3w2,0.0,233.88,1403.01
gfx1250,256,1024,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20286,3,10.2302,opus_gemm_gfx1250_splitk_clusterlaunch_tdm_ws_128x32x64x256_2x1_16x16x32_0x0x0_c4x2_p3w2,0.0,367.35,1844.97
gfx1250,256,2048,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,21315,0,13.7767,opus_gemm_gfx1250_4wave_wl_co_128x32x64x256_4x1_16x16x32_0x0x0_w1x4_c4x4_p3_v1024w1,0.0,545.57,2473.65
gfx1250,256,4096,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,21310,0,15.0299,opus_gemm_gfx1250_4wave_wl_co_128x64x64x256_4x1_16x16x32_0x0x0_w2x2_c4x4_p3_v1024w1,0.0,1000.17,4290.61
gfx1250,256,8192,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,21148,0,27.6301,opus_gemm_gfx1250_4wave_wl_co_128x96x128x128_4x1_16x16x32_0x0x0_w2x2_c2x2_p3_v1024w1,0.0,1088.12,4535.08
gfx1250,256,16384,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,21177,0,37.4735,opus_gemm_gfx1250_4wave_wl_co_128x128x256x128_4x1_16x16x32_0x0x0_w2x2_c4x1_p3_v1024w1,0.0,1604.59,6589.71
gfx1250,256,1,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20129,6,6.3985,opus_gemm_gfx1250_splitk_clusterlaunch_tdm_ws_128x16x32x256_1x2_16x16x32_0x0x0_c1x4_p3w2,0.0,4.73,4734.89
gfx1250,256,2,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20129,6,6.4956,opus_gemm_gfx1250_splitk_clusterlaunch_tdm_ws_128x16x32x256_1x2_16x16x32_0x0x0_c1x4_p3w2,0.0,9.32,4666.97
gfx1250,256,4,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20121,6,6.4565,opus_gemm_gfx1250_splitk_clusterlaunch_tdm_ws_128x16x32x256_1x2_16x16x32_0x0x0_c1x2_p3w2,0.0,18.76,4700.98
gfx1250,256,8,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20129,6,6.5542,opus_gemm_gfx1250_splitk_clusterlaunch_tdm_ws_128x16x32x256_1x2_16x16x32_0x0x0_c1x4_p3w2,0.0,36.96,4642.23
gfx1250,256,16,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20129,6,6.6767,opus_gemm_gfx1250_splitk_clusterlaunch_tdm_ws_128x16x32x256_1x2_16x16x32_0x0x0_c1x4_p3w2,0.0,72.56,4579.3
gfx1250,256,32,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20255,6,7.2364,opus_gemm_gfx1250_splitk_clusterlaunch_tdm_ws_128x32x32x256_2x1_16x16x32_0x0x0_c1x4_p3w2,0.0,133.89,4266.15
gfx1250,256,48,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20256,3,8.1694,opus_gemm_gfx1250_splitk_clusterlaunch_tdm_ws_128x32x32x256_2x1_16x16x32_0x0x0_c2x4_p3w2,0.0,177.9,3815.28
gfx1250,256,64,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20252,3,8.4256,opus_gemm_gfx1250_splitk_clusterlaunch_tdm_ws_128x32x32x256_2x1_16x16x32_0x0x0_c2x3_p3w2,0.0,229.99,3734.51
gfx1250,256,80,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20249,2,9.681,opus_gemm_gfx1250_splitk_clusterlaunch_tdm_ws_128x32x32x256_2x1_16x16x32_0x0x0_c3x2_p3w2,0.0,250.2,3280.9
gfx1250,256,96,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20249,2,9.8315,opus_gemm_gfx1250_splitk_clusterlaunch_tdm_ws_128x32x32x256_2x1_16x16x32_0x0x0_c3x2_p3w2,0.0,295.65,3260.89
gfx1250,256,112,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20374,3,10.0861,opus_gemm_gfx1250_splitk_clusterlaunch_tdm_ws_128x64x32x256_2x1_16x16x32_0x0x0_c2x2_p3w2,0.0,336.21,3208.01
gfx1250,256,128,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20374,3,10.2425,opus_gemm_gfx1250_splitk_clusterlaunch_tdm_ws_128x64x32x256_2x1_16x16x32_0x0x0_c2x2_p3w2,0.0,378.38,3188.02
gfx1250,256,256,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,21308,0,15.3507,opus_gemm_gfx1250_4wave_wl_co_128x64x64x256_4x1_16x16x32_0x0x0_w2x2_c4x1_p3_v1024w1,0.0,504.93,2281.91
gfx1250,256,512,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20518,3,23.8238,opus_gemm_gfx1250_splitk_clusterlaunch_tdm_ws_128x128x64x128_2x1_16x16x32_0x0x0_c2x2_p3w2,0.0,650.7,1669.77
gfx1250,256,1024,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,21149,0,28.3437,opus_gemm_gfx1250_4wave_wl_co_128x96x128x128_4x1_16x16x32_0x0x0_w2x2_c4x4_p3_v1024w1,0.0,1093.87,1738.77
gfx1250,256,2048,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,21170,0,35.43,opus_gemm_gfx1250_4wave_wl_co_128x128x192x128_4x1_16x16x32_0x0x0_w2x2_c1x1_p3_v1024w1,0.0,1750.17,1927.42
gfx1250,256,4096,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,21046,0,72.3822,opus_gemm_gfx1250_4wave_co_128x128x192x128_4x1_16x16x32_0x0x0_c4x3_p3_v1024w1,0.0,1713.37,1468.58
gfx1250,256,8192,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,21230,0,133.3386,opus_gemm_gfx1250_4wave_wl_co_128x128x192x128_4x1_16x16x32_0x0x0_w1x4_c1x1_p3_v1024w1,0.0,1860.18,1367.35
gfx1250,256,16384,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,21177,0,247.3669,opus_gemm_gfx1250_4wave_wl_co_128x128x256x128_4x1_16x16x32_0x0x0_w2x2_c4x1_p3_v1024w1,0.0,2005.4,1351.7
gfx1250,256,1,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,opus,21312,0,4.6779,opus_gemm_gfx1250_4wave_wl_co_128x32x64x256_4x1_16x16x32_0x0x0_w1x4_c1x4_p3_v1024w1,0.0,2.02,2019.37
gfx1250,256,2,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,opus,21312,0,4.7064,opus_gemm_gfx1250_4wave_wl_co_128x32x64x256_4x1_16x16x32_0x0x0_w1x4_c1x4_p3_v1024w1,0.0,4.01,2009.1
gfx1250,256,4,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,opus,21312,0,4.774,opus_gemm_gfx1250_4wave_wl_co_128x32x64x256_4x1_16x16x32_0x0x0_w1x4_c1x4_p3_v1024w1,0.0,7.91,1984.51
gfx1250,256,8,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,opus,21312,0,4.8331,opus_gemm_gfx1250_4wave_wl_co_128x32x64x256_4x1_16x16x32_0x0x0_w1x4_c1x4_p3_v1024w1,0.0,15.62,1967.87
gfx1250,256,16,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,opus,21312,0,4.8627,opus_gemm_gfx1250_4wave_wl_co_128x32x64x256_4x1_16x16x32_0x0x0_w1x4_c1x4_p3_v1024w1,0.0,31.05,1971.05
gfx1250,256,32,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,opus,21312,0,4.9219,opus_gemm_gfx1250_4wave_wl_co_128x32x64x256_4x1_16x16x32_0x0x0_w1x4_c1x4_p3_v1024w1,0.0,61.36,1977.3
gfx1250,256,48,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,opus,21314,0,4.9664,opus_gemm_gfx1250_4wave_wl_co_128x32x64x256_4x1_16x16x32_0x0x0_w1x4_c2x2_p3_v1024w1,0.0,91.21,1989.28
gfx1250,256,64,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,opus,21314,0,4.9908,opus_gemm_gfx1250_4wave_wl_co_128x32x64x256_4x1_16x16x32_0x0x0_w1x4_c2x2_p3_v1024w1,0.0,121.02,2009.1
gfx1250,256,80,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,opus,21315,0,5.0753,opus_gemm_gfx1250_4wave_wl_co_128x32x64x256_4x1_16x16x32_0x0x0_w1x4_c4x4_p3_v1024w1,0.0,148.75,2004.7
gfx1250,256,96,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,opus,21315,0,5.0812,opus_gemm_gfx1250_4wave_wl_co_128x32x64x256_4x1_16x16x32_0x0x0_w1x4_c4x4_p3_v1024w1,0.0,178.3,2031.39
gfx1250,256,112,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,opus,21309,0,5.3851,opus_gemm_gfx1250_4wave_wl_co_128x64x64x256_4x1_16x16x32_0x0x0_w2x2_c2x2_p3_v1024w1,0.0,196.28,1944.14
gfx1250,256,128,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,opus,21309,0,5.421,opus_gemm_gfx1250_4wave_wl_co_128x64x64x256_4x1_16x16x32_0x0x0_w2x2_c2x2_p3_v1024w1,0.0,222.83,1958.46
