M,N,K
96,3072,4096
112,3072,4096
128,3072,4096
144,3072,4096
160,3072,4096
176,3072,4096
192,3072,4096
208,3072,4096
224,3072,4096
240,3072,4096
256,3072,4096
288,3072,4096
320,3072,4096
352,3072,4096
384,3072,4096
416,3072,4096
448,3072,4096
480,3072,4096
512,3072,4096
736,3072,4096
768,3072,4096
800,3072,4096
832,3072,4096
864,3072,4096
896,3072,4096
928,3072,4096
960,3072,4096
992,3072,4096
1024,3072,4096
1088,3072,4096
1152,3072,4096
1216,3072,4096
1280,3072,4096
1344,3072,4096
1408,3072,4096
1472,3072,4096
1536,3072,4096
1600,3072,4096
1664,3072,4096
1728,3072,4096
1792,3072,4096
1856,3072,4096
1920,3072,4096
1984,3072,4096
2048,3072,4096
2112,3072,4096
2176,3072,4096
2240,3072,4096
2304,3072,4096
2368,3072,4096
2432,3072,4096
2496,3072,4096
2560,3072,4096
2624,3072,4096
2688,3072,4096
2752,3072,4096
2816,3072,4096
2880,3072,4096
2944,3072,4096
3008,3072,4096
3072,3072,4096
3136,3072,4096
3200,3072,4096
3264,3072,4096
3328,3072,4096
3456,3072,4096
3648,3072,4096
3712,3072,4096
3840,3072,4096
4032,3072,4096
4224,3072,4096
4352,3072,4096
7296,3072,4096
8192,3072,4096
8320,3072,4096
13952,3072,4096
15488,3072,4096
16384,3072,4096
16,4096,256
32,4096,256
48,4096,256
64,4096,256
80,4096,256
96,4096,256
112,4096,256
128,4096,256
144,4096,256
160,4096,256
176,4096,256
192,4096,256
208,4096,256
224,4096,256
240,4096,256
256,4096,256
288,4096,256
320,4096,256
352,4096,256
384,4096,256
416,4096,256
448,4096,256
480,4096,256
512,4096,256
736,4096,256
768,4096,256
800,4096,256
832,4096,256
864,4096,256
896,4096,256
928,4096,256
960,4096,256
992,4096,256
1024,4096,256
1088,4096,256
1152,4096,256
1216,4096,256
1280,4096,256
1344,4096,256
1408,4096,256
1472,4096,256
1536,4096,256
1600,4096,256
1664,4096,256
1728,4096,256
1792,4096,256
1856,4096,256
1920,4096,256
1984,4096,256
2048,4096,256
2112,4096,256
2176,4096,256
2240,4096,256
2304,4096,256
2368,4096,256
2432,4096,256
2496,4096,256
2560,4096,256
2624,4096,256
2688,4096,256
2752,4096,256
2816,4096,256
2880,4096,256
2944,4096,256
3008,4096,256
3072,4096,256
3136,4096,256
3200,4096,256
3264,4096,256
3328,4096,256
3456,4096,256
3648,4096,256
3712,4096,256
3840,4096,256
4032,4096,256
4224,4096,256
4352,4096,256
7296,4096,256
8192,4096,256
8320,4096,256
13952,4096,256
15488,4096,256
16384,4096,256
16,4096,1536
32,4096,1536
48,4096,1536
64,4096,1536
80,4096,1536
96,4096,1536
112,4096,1536
128,4096,1536
144,4096,1536
160,4096,1536
176,4096,1536
192,4096,1536
208,4096,1536
224,4096,1536
240,4096,1536
256,4096,1536
288,4096,1536
320,4096,1536
352,4096,1536
384,4096,1536
416,4096,1536
448,4096,1536
480,4096,1536
512,4096,1536
736,4096,1536
768,4096,1536
800,4096,1536
832,4096,1536
864,4096,1536
896,4096,1536
928,4096,1536
960,4096,1536
992,4096,1536
1024,4096,1536
1088,4096,1536
1152,4096,1536
1216,4096,1536
1280,4096,1536
1344,4096,1536
1408,4096,1536
1472,4096,1536
1536,4096,1536
1600,4096,1536
1664,4096,1536
1728,4096,1536
1792,4096,1536
1856,4096,1536
1920,4096,1536
1984,4096,1536
2048,4096,1536
2112,4096,1536
2176,4096,1536
2240,4096,1536
2304,4096,1536
2368,4096,1536
2432,4096,1536
2496,4096,1536
2560,4096,1536
2624,4096,1536
2688,4096,1536
2752,4096,1536
2816,4096,1536
2880,4096,1536
2944,4096,1536
3008,4096,1536
3072,4096,1536
3136,4096,1536
3200,4096,1536
3264,4096,1536
3328,4096,1536
3456,4096,1536
3648,4096,1536
3712,4096,1536
3840,4096,1536
4032,4096,1536
4224,4096,1536
4352,4096,1536
7296,4096,1536
8192,4096,1536
8320,4096,1536
13952,4096,1536
15488,4096,1536
16384,4096,1536
16,4096,3072
32,4096,3072
48,4096,3072
64,4096,3072
80,4096,3072
96,4096,3072
112,4096,3072
128,4096,3072
144,4096,3072
160,4096,3072
176,4096,3072
192,4096,3072
208,4096,3072
224,4096,3072
240,4096,3072
256,4096,3072
288,4096,3072
320,4096,3072
352,4096,3072
384,4096,3072
416,4096,3072
448,4096,3072
480,4096,3072
512,4096,3072
544,4096,3072
640,4096,3072
768,4096,3072
800,4096,3072
832,4096,3072
864,4096,3072
896,4096,3072
928,4096,3072
960,4096,3072
992,4096,3072
1024,4096,3072
1088,4096,3072
1152,4096,3072
1216,4096,3072
1280,4096,3072
1344,4096,3072
1408,4096,3072
1472,4096,3072
1536,4096,3072
1600,4096,3072
1664,4096,3072
1728,4096,3072
1792,4096,3072
1856,4096,3072
1920,4096,3072
1984,4096,3072
2048,4096,3072
2112,4096,3072
2176,4096,3072
2240,4096,3072
2304,4096,3072
2368,4096,3072
2432,4096,3072
2496,4096,3072
2560,4096,3072
2624,4096,3072
2688,4096,3072
2752,4096,3072
2816,4096,3072
2880,4096,3072
2944,4096,3072
3008,4096,3072
3072,4096,3072
3136,4096,3072
3200,4096,3072
3264,4096,3072
3328,4096,3072
3392,4096,3072
3584,4096,3072
3648,4096,3072
3968,4096,3072
4096,4096,3072
4224,4096,3072
4736,4096,3072
5120,4096,3072
7296,4096,3072
8192,4096,3072
8320,4096,3072
13952,4096,3072
15488,4096,3072
16384,4096,3072
16,4096,6144
32,4096,6144
48,4096,6144
64,4096,6144
80,4096,6144
96,4096,6144
112,4096,6144
128,4096,6144
144,4096,6144
160,4096,6144
176,4096,6144
192,4096,6144
208,4096,6144
224,4096,6144
240,4096,6144
256,4096,6144
288,4096,6144
320,4096,6144
352,4096,6144
384,4096,6144
416,4096,6144
448,4096,6144
480,4096,6144
512,4096,6144
544,4096,6144
672,4096,6144
736,4096,6144
768,4096,6144
800,4096,6144
832,4096,6144
864,4096,6144
896,4096,6144
928,4096,6144
960,4096,6144
992,4096,6144
1024,4096,6144
1088,4096,6144
1152,4096,6144
1216,4096,6144
1280,4096,6144
1344,4096,6144
1408,4096,6144
1472,4096,6144
1536,4096,6144
1600,4096,6144
1664,4096,6144
1728,4096,6144
1792,4096,6144
1856,4096,6144
1920,4096,6144
1984,4096,6144
2048,4096,6144
2112,4096,6144
2176,4096,6144
2240,4096,6144
2304,4096,6144
2368,4096,6144
2432,4096,6144
2496,4096,6144
2560,4096,6144
2624,4096,6144
2688,4096,6144
2752,4096,6144
2816,4096,6144
2880,4096,6144
2944,4096,6144
3008,4096,6144
3072,4096,6144
3136,4096,6144
3264,4096,6144
3456,4096,6144
3584,4096,6144
3648,4096,6144
3776,4096,6144
3840,4096,6144
3904,4096,6144
3968,4096,6144
4096,4096,6144
5120,4096,6144
7296,4096,6144
8192,4096,6144
8320,4096,6144
13952,4096,6144
15488,4096,6144
16384,4096,6144
16,6144,4096
32,6144,4096
48,6144,4096
64,6144,4096
80,6144,4096
96,6144,4096
112,6144,4096
128,6144,4096
144,6144,4096
160,6144,4096
176,6144,4096
192,6144,4096
208,6144,4096
224,6144,4096
240,6144,4096
256,6144,4096
288,6144,4096
320,6144,4096
352,6144,4096
384,6144,4096
416,6144,4096
448,6144,4096
480,6144,4096
512,6144,4096
544,6144,4096
640,6144,4096
768,6144,4096
800,6144,4096
832,6144,4096
864,6144,4096
896,6144,4096
928,6144,4096
960,6144,4096
992,6144,4096
1024,6144,4096
1088,6144,4096
1152,6144,4096
1216,6144,4096
1280,6144,4096
1344,6144,4096
1408,6144,4096
1472,6144,4096
1536,6144,4096
1600,6144,4096
1664,6144,4096
1728,6144,4096
1792,6144,4096
1856,6144,4096
1920,6144,4096
1984,6144,4096
2048,6144,4096
2112,6144,4096
2176,6144,4096
2240,6144,4096
2304,6144,4096
2368,6144,4096
2432,6144,4096
2496,6144,4096
2560,6144,4096
2624,6144,4096
2688,6144,4096
2752,6144,4096
2816,6144,4096
2880,6144,4096
2944,6144,4096
3008,6144,4096
3072,6144,4096
3136,6144,4096
3200,6144,4096
3264,6144,4096
3328,6144,4096
3392,6144,4096
3584,6144,4096
3648,6144,4096
3968,6144,4096
4096,6144,4096
4224,6144,4096
4736,6144,4096
5120,6144,4096
7296,6144,4096
8192,6144,4096
8320,6144,4096
13952,6144,4096
15488,6144,4096
16384,6144,4096
16,12288,4096
32,12288,4096
48,12288,4096
64,12288,4096
80,12288,4096
96,12288,4096
112,12288,4096
128,12288,4096
144,12288,4096
160,12288,4096
176,12288,4096
192,12288,4096
208,12288,4096
224,12288,4096
240,12288,4096
256,12288,4096
288,12288,4096
320,12288,4096
352,12288,4096
384,12288,4096
416,12288,4096
448,12288,4096
480,12288,4096
512,12288,4096
544,12288,4096
672,12288,4096
736,12288,4096
768,12288,4096
800,12288,4096
832,12288,4096
864,12288,4096
896,12288,4096
928,12288,4096
960,12288,4096
992,12288,4096
1024,12288,4096
1088,12288,4096
1152,12288,4096
1216,12288,4096
1280,12288,4096
1344,12288,4096
1408,12288,4096
1472,12288,4096
1536,12288,4096
1600,12288,4096
1664,12288,4096
1728,12288,4096
1792,12288,4096
1856,12288,4096
1920,12288,4096
1984,12288,4096
2048,12288,4096
2112,12288,4096
2176,12288,4096
2240,12288,4096
2304,12288,4096
2368,12288,4096
2432,12288,4096
2496,12288,4096
2560,12288,4096
2624,12288,4096
2688,12288,4096
2752,12288,4096
2816,12288,4096
2880,12288,4096
2944,12288,4096
3008,12288,4096
3072,12288,4096
3136,12288,4096
3264,12288,4096
3456,12288,4096
3584,12288,4096
3648,12288,4096
3776,12288,4096
3840,12288,4096
3904,12288,4096
3968,12288,4096
4096,12288,4096
5120,12288,4096
7296,12288,4096
8192,12288,4096
8320,12288,4096
13952,12288,4096
15488,12288,4096
16384,12288,4096
